ts,symbol,event,side,qty,price,wallet,pnl,left,im,fee_est,retCode,reason
1756425900000,ENAUSDT,open,Buy,14649.0,0.6792,994.03023952,0.0,994.03023952,994.9600800000001,5.96976048,OK,open
1756431180000,ENAUSDT,stop,Buy,14649.0,0.6662,797.7377412399999,-190.43700000000018,797.7377412399999,,5.85549828,OK,stop_hit
