ts,symbol,action,side,qty,price,wallet,pnl
1756376400000,CROUSDT,open,Buy,27954.0,0.35593,994.030199668,0.0
1756376940000,CROUSDT,stop,Buy,27954.0,0.35997,1100.9267988399997,112.93415999999966
1756377720000,CROUSDT,open,Buy,31337.0,0.34956,1094.3543018079997,0.0
1756378320000,CROUSDT,reverse_close,Buy,31337.0,0.35103,1133.8195555420007,46.06539000000084
1756378320000,CROUSDT,open,Sell,32139.0,0.35102,1127.0506964740007,0.0
1756379220000,CROUSDT,stop,Sell,32139.0,0.35477,999.6882746560015,-120.52124999999921
1756380540000,ADAUSDT,open,Sell,11492.0,0.8655,993.7204790560014,0.0
